,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
75,2.142659680220268e+31,19218025883.854107,1.651880230042957,5748339.212166396,1285995689771438.2,6.534470661696035e+30,0.005031323672982523,1.3811400590863083,0.4,0.4,c
76,2.16562390310527e+31,19353763319.11827,1.6565196428768658,5731711.065715502,1285845596826401.5,6.578442178784169e+30,0.00496436222526666,1.3847343547263697,0.4,0.4,c
77,2.1888342479188352e+31,19490362925.871544,1.6611643930372253,5715148.497090614,1285693895241468.0,6.621741956185286e+30,0.004898269697746665,1.3883360708558898,0.4,0.4,c
78,2.2122933525034546e+31,19627828396.007656,1.6658138985837503,5698653.039766811,1285540567775838.0,6.664381218295694e+30,0.004833042380154515,1.3919450515803367,0.4,0.4,c
79,2.2360038829730787e+31,19766163536.563663,1.6704675752917373,5682226.193402499,1285385597003932.8,6.706371035629771e+30,0.004768676290384984,1.3955611422299452,0.4,0.4,c
80,2.259968534016069e+31,19905372264.87894,1.675124836877727,5665869.423602573,1285228965313411.2,6.747722327249678e+30,0.00470516718401615,1.399184189301155,0.4,0.4,c
81,2.2841900292013897e+31,20045458604.018326,1.6797850952214881,5649584.16172391,1285070654903170.8,6.788445862995133e+30,0.004642510563887565,1.4028140404037568,0.4,0.4,c
82,2.308671121288252e+31,20186426678.443756,1.6844477605845258,5633371.804720938,1284910647781323.0,6.828552265536248e+30,0.004580701689712243,1.4064505442133812,0.4,0.4,c
83,2.333414592538909e+31,20328280709.919796,1.6891122418253273,5617233.715029083,1284748925763149.2,6.868052012270302e+30,0.004519735587699234,1.410093550428981,0.4,0.4,c
84,2.358423255034799e+31,20471025013.63932,1.6937779466115175,5601171.220483987,1284585470469033.5,6.906955437081304e+30,0.00445960706016593,1.4137429097349867,0.4,0.4,c
85,2.3836999509962517e+31,20614663994.556534,1.698444281629129,5585185.614274459,1284420263322374.8,6.945272731979432e+30,0.004400310695119718,1.4173984737678416,0.4,0.4,c
86,2.4092475531054494e+31,20759202143.915253,1.7031106527891386,5569278.154927209,1284253285547473.5,6.983013948635758e+30,0.004341840875790974,1.4210600950866281,0.4,0.4,c
87,2.4350689648328462e+31,20904644035.96117,1.707776465431447,5553450.066321478,1284084518167401.2,7.020188999826173e+30,0.004284191790099968,1.4247276271475358,0.4,0.4,c
88,2.4611671207672615e+31,21050994324.8275,1.7124411245264406,5537702.537731775,1283913942001840.2,7.056807660797049e+30,0.004227357440041789,1.4284009242819309,0.4,0.4,c
89,2.4875449869493177e+31,21198257741.58402,1.7171040348742856,5522036.72389699,1283741537664906.2,7.092879570563917e+30,0.004171331650975169,1.4320798416777938,0.4,0.4,c
90,2.51420556120857e+31,21346439091.440163,1.7217646013020789,5506453.745114247,1283567285562943.8,7.128414233153297e+30,0.004116108080801149,1.4357642353643216,0.4,0.4,c
91,2.541151873504123e+31,21495543251.09339,1.726422228858972,5490954.687355923,1283391165892300.2,7.163421018796737e+30,0.004061680229019875,1.4394539621995008,0.4,0.4,c
92,2.56838698626911e+31,21645575166.21452,1.7310763230093806,5475540.602408324,1283213158637075.2,7.197909165085215e+30,0.00400804144565429,1.4431488798604577,0.4,0.4,c
93,2.595913994758673e+31,21796539849.062256,1.7357262898243695,5460212.508030624,1283033243566844.5,7.231887778091116e+30,0.003955184940030386,1.4468488468364231,0.4,0.4,c
94,2.6237360274016757e+31,21948442376.219643,1.7403715361713041,5444971.388132676,1282851400234362.5,7.265365833464243e+30,0.003903103789405268,1.4505537224241432,0.4,0.4,c
95,2.651856246156372e+31,22101287886.44546,1.7450114699018364,5429818.192970436,1282667607973237.5,7.29835217750758e+30,0.0038517909474348458,1.4542633667255827,0.4,0.4,c
